,Listeria_phage_LP-125,Serratia_phage_phiMAM1,Vibrio_phage_vB_VpaS_MAR10,Mycobacterium_phage_Myrna,Xanthomonas_phage_vB_XveM_DIBBI,Synechococcus_phage_S-SM2,Vibrio_phage_vB_VchM-138,Rhodococcus_phage_E3,Synechococcus_phage_S-SSM7,Viunalikevirus,Pseudomonas_phage_OBP,Edwardsiella_phage_PEi2,Prochlorococcus_phage_MED4-213,Campylobacter_phage_CP21,Bdellovibrio_phage_phi1422,Vibrio_phage_CP-T1,Hapunalikevirus,Salmonella_phage_FSL_SP-004,Cellulophaga_phage_phiSM,Klebsiella_phage_0507-KN2-1,Vibrio_phage_VPUSM_8,Vibrio_phage_vB_VpaM_MAR,Rhizobium_phage_RR1-A,Lactobacillus_phage_Lb338-1,I3likevirus,Pseudomonas_phage_Lu11,Burkholderia_phage_KS10,Salmonella_phage_RE-2010,Yersinia_phage_phiR1-37,Thermus_phage_TMA,Iodobacteriophage_phiPLPE,Mannheimia_phage_vB_MhM_1152AP,Cronobacter_phage_CR3,Erwinia_phage_phiEt88,Bacillus_phage_SP10,Pelagibacter_phage_HTVC008M,Haemophilus_phage_Aaphi23,Felixounalikevirus,Lactobacillus_phage_KC5a,Synechococcus_phage_S-RIM2,Clostridium_phage_phiMMP02,Cronobacter_phage_ENT47670,Psychrobacter_phage_pOW20-A,Bacillus_phage_CampHawk,Bacillus_phage_BCP78,Phikzlikevirus,Aggregatibacter_phage_S1249,Lactobacillus_phage_phiAQ113,Bcep78likevirus,Burkholderia_phage_BcepB1A,Cronobacter_phage_vB_CsaM_GAP32,Pseudomonas_phage_PaBG,Rhodothermus_phage_RM378,Enterobacteria_phage_phiP27,Erwinia_phage_ENT90,Bacillus_phage_0305phi8-36,Pectobacterium_phage_ZF40,Aeromonas_phage_vB_AsaM-56,Ralstonia_phage_RSL1,Clostridium_phage_phiMMP04,VHML-like_phages,Mulikevirus,Bacillus_phage_BCD7,Streptococcus_phage_EJ-1,Escherichia_phage_phAPEC8,Bcepmulikevirus,Sphingomonas_phage_PAU,Enterobacteria_phage_SfV,Shigella_phage_SfII,Spounavirinae,Clostridium_phage_c-st,Peduovirinae,Tevenvirinae,PhiCD119likevirus,Punalikevirus,Shigella_phage_SfIV
16112_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
16113_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
16114_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16115_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,42,0,0,0
16116_Chi_Healthy,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,34,47,0,0,0,0,0,0,42,0,54,0,0,0,0,23,24,0,40,0,78,0,0,0,28,0,0,113,89,78,178,143,0,0
16117_Chi_Healthy,0,20,0,21,0,22,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,45,36,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,41,0,0,0,0,0,0,53,0,58,0,0,41,0,0,84,23,29,0,71,0,0,31,27,0,0,235,31,46,196,102,0,0
16118_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,26,0,41,0,0,0,0,0,0,0,23,0,67,0,0,0,0,0,0,41,33,45,39,0,0,0
16119_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,22,0,0,0,0,0,0,0,0,0,95,0,0,31,0,0,80,0,0,0
16120_Chi_Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,48,20,0,0
2409_Chi_CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,269,34,33,0,0,42,0,0,0,0,0,0,0,1580,1830,21,0,229,23,55,83,17811
2411_Chi_CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,107,0,0,35,36,0,0,0,48,95,0,0,0,224,0,0,0,0,0,0,188,51,0,421,0,0,0,44,346,0,0,33,766,0,0,0,0,0,439,44,0,5517,793
2412_Chi_CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,29,37,0,58,0,0,0,72,0,23,0,32,0,0
2413_Chi_CD,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2414_Chi_CD,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,22,0,51,0,43,0,0,42,0,0,0,0,245,0,0,0,21,0,0,0,113,1059,0,268,0,0,145,58,0,82,142,0,0
2415_Chi_CD,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,59,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,22,0,0,0,26,0,0,308,0,20,25,28,0,0,0,124,0,0,108,273,41,117,34,0,0
2424_Chi_UC,0,0,0,0,21,0,22,0,0,0,0,0,0,0,0,0,0,39,0,0,0,46,28,21,0,0,62,85,0,0,22,31,0,25,0,0,151,21,49,0,88,0,53,0,0,21,132,24,185,207,0,0,0,21,168,36,49,417,46,546,0,388,23,134,0,71,0,50,0,157,82,1028,136,853,2637,30
